人	人入
金巛田	锱錙
金女	钕釹
金母	𬭁鉧
月龍	胧朧
犭貝	狈狽
風且八	飓颶
風臼丨又	飕颼
風勹巳	飑颮
月月鳥	鹏鵬
九鳥	鸠鳩
犭言犬	狱獄
月半魚	䲢鰧
月半馬	腾騰
魚一日乂	鲠鯁
魚一丷十	鲆鮃
魚土土	鲑鮭
魚士口	鲒鮚
魚土八夂	鲮鯪
魚者匕日	鳍鰭
魚春	䲠鰆
魚丰月	鲭鯖
魚耳又	鲰鯫
魚十艹貝	鲼鱝
魚廿乚木	鲽鰈
匕十鳥	鸨鴇
魚革力	鳓鰳
魚雨彐	鳕鱈
魚而	鲕鮞
匕頁	顷頃
魚大月	鲔鮪
魚尤	鱿魷
魚厂屮欠	鳜鱖
魚之車	鲢鰱
魚卜口	鲇鮎
魚圍十口	鲴鯝
魚田土	鲤鯉
魚非	鲱鯡
魚日日	鲳鯧
魚日四又	鳗鰻
魚日匕匕	鲲鯤
魚日	鲁魯
魚田心	鳃鰓
魚日习习	鳎鰨
魚周土口	鲷鯛
魚冂一口	鲖鮦
魚四水	鳏鰥
鳥山	岛島
𠂊貝	负負
𠂊用甲一	觶觯
魚禾	稣穌
匕禾頁	颖穎
魚禾火	鳅鰍
魚丿絲	鲧鯀
魚白王	鳇鰉
魚亻寸	鲋鮒
魚臼儿	鲵鯢
魚爪十凵	鳐鰩
鳥几	凫鳧
魚勹巳	鲍鮑
魚方	鲂魴
魚羊	鲜鮮
魚丷酉寸	鳟鱒
魚米夕㐄	鳞鱗
魚羊䒑口	鳝鱔
魚宀一兀	鲩鯇
鳥宀匕	鸵鴕
魚艮卩	鲫鯽
魚刀	鱽魛
夗鳥	鸳鴛
烏	乌烏
鳥木	枭梟
魚厶口	鲐鮐
言一寸	𬣙訏
言丁	订訂
言丁口	诃訶
言一丷十	评評
言土土	诖詿
言土寸	诗詩
言工	讧訌
言士口	诘詰
言者	诸諸
言工人人	诬誣
言工㇕口	语語
言丰木	诔誄
言丰月	请請
言耳又	诹諏
言寸	讨討
言十	计計
言甘木	谋謀
言廿乚木	谍諜
言艹大口	诺諾
言十口	诂詁
言艹亡川	谎謊
言其乚	谌諶
言西土	𬤇諲
言西日十	谭譚
言木四	谏諫
言豕	诼諑
言大火	诙詼
言弋工	试試
言匚王	诓誆
言戈艹	诫誡
言牙	讶訝
言七儿日	谮譖
言戊㇆	诚誠
言匚㇕	讵詎
言卜	讣訃
言虎匚	谑謔
言口一大	误誤
亠圍一頁	颤顫
亡口貝凡	赢贏
言非	诽誹
言田木	课課
