人	人入
馬衣口甘	驤骧
馬亠乡人	駭骇
馬丬廿八	驥骥
馬䒑艹	駢骈
馬宀匕	駝驼
馬户习习	騸骟
又㇕丨頁	預预
馬又	馭驭
馬馬馬	驫骉
馬尸子子	驏骣
馬也	馳驰
馬厶口	駘骀
馬厶八夂	駿骏
阝龍	隴陇
阝車	陣阵
力口貝	賀贺
力口馬	駕驾
絲一寸	紆纡
絲士口	結结
絲者	緒绪
絲土八夂	綾绫
絲二厶	紜纭
絲丰月	綪𬘬
絲丰阝	綁绑
絲寸	紂纣
絲甘	紺绀
絲革	緙缂
絲廿乚	紲绁
絲甫寸	縛缚
絲木木	綝𬘭
絲木目	緗缃
絲辰寸	縟缛
絲㇕圍目	緬缅
絲戊一口	緘缄
絲至	絰绖
絲卜日十	綽绰
絲口耳	緝缉
絲圍大	絪𬘡
絲口月	絹绢
絲非	緋绯
絲日四又	縵缦
絲小丿	紗纱
絲小月	綃绡
絲日一止	緹缇
絲田絲	縲缧
絲周土口	綢绸
絲冂口	絅䌹
絲貝貝女	纓缨
絲冂人	納纳
絲丿士	紝纴
絲牛儿貝	纘缵
女馬	媽妈
絲禾㇆丿	綉绣
絲亻三殳	緞缎
絲川	紃𬘓
絲隹	維维
絲白巾	綿绵
絲白方攵	繳缴
絲人一口	給给
絲人二厶	絵绘
絲行	絎绗
絲八刀	紛纷
絲爪大又	緩缓
絲爪女	綏绥
絲丸	紈纨
絲氏	紙纸
絲夂卜口	綹绺
絲夂口	絡络
絲勹日	絢绚
絲勹丶	約约
絲夂冫	終终
絲𠂊巴	絶绝
絲文	紋纹
絲方	紡纺
女門木	嫻娴
絲半	絆绊
絲丷四日	繒缯
絲羊䒑口	繕缮
絲米乚	継继
絲宀示	綜综
絲宀一止	綻绽
絲宀一白	縮缩
絲之夂丰	縫缝
絲宀㠯	綰绾
絲彐丨	紐纽
絲彐水	緑绿
絲又㇕丨	紓纾
絲弓丨	紖纼
絲刀口	紹绍
母貝	貫贯
絲㇆人	級级
絲弓川	紼绋
絲刀丶	紉纫
絲己	紀纪
絲彑豕	緣缘
絲凵	糾纠
絲厶口	紿绐
絲巛田木	繅缫
一口丁鳥	鷊鹝
