𧄊	艹日十廿口夫
𡔃	土廿口夫隹
𢠦	心廿口夫
𥸁	⺮廿口夫隹
𦣎	月廿口夫隹
𢥪	心廿口夫隹
𡅧	口廿口夫隹

# 虛・虚
墟	土虎业
覷	虎业見
歔	虎业欠
譃	言虎业
虡	虎业八
魖	鬼虎业
驉	馬虎业
鱋	魚虎业
戯	虎业戈
𨼋	阝虎业
𬞲	艹虎业一丂
𱢱	日虎业一丂
𢣧	心虎业一丂
𫣞	亻虎业
𪹣	火虎业

# 拐（力・刀）
拐	扌口力

# 屯（一・丿）
純	糸一屮
噸	口一屮頁
頓	一屮頁
屯	一屮
鈍	金一屮
囤	圍一屮
扽	扌一屮
盹	目一屮
沌	氵一屮
肫	月一屮
邨	一屮阝
飩	食一屮
砘	石一屮
窀	穴一屮
魨	魚一屮
迍	之一屮
忳	心一屮
坉	土一屮
庉	广一屮
軘	車一屮
芚	艹一屮
杶	木一屮
訰	言一屮
瓲	瓦一屮
吨	口一屮
莼	艹糸一屮
炖	火一屮
𢵶	扌金一屮
𡶁	山一屮
𣔝	木之一屮
㹠	犭一屮
𦟒	一屮月𠂊厂卩
𧉙	虫一屮
𦡋	月一屮頁
𡴢	一屮䒑业
𥇈	目圍一屮
𧿬	足一屮
𡴉	一屮凡
𡚃	金一屮大
𥂉	一屮冫欠皿
𫃉	西米一屮
𧘸	衤一屮
𩂄	雨一屮
𦝊	月之一屮
𬙴	羊大一屮
𡭻	小大一屮
𤵊	疒一屮
𢲝	糸一屮手

# 反（𠂆・厂）
版	片𠂆又
飯	食𠂆又
反	𠂆又
板	木𠂆又
返	之𠂆又
販	貝𠂆又
扳	扌𠂆又
坂	土𠂆又
阪	阝𠂆又
叛	半𠂆又
畈	田𠂆又
鈑	金𠂆又
皈	白𠂆又
仮	亻𠂆又
舨	舟𠂆又
蝂	虫片𠂆又
粄	米𠂆又
昄	日𠂆又
魬	魚𠂆又
眅	目𠂆又
汳	氵𠂆又
𦙀	月𠂆又
𪠭	𠂆又阝且
𢆕	平𠂆又
𥾵	糸𠂆又
𫷰	广木𠂆又
𧿨	足𠂆又
𥯈	⺮木𠂆又
𫩍	𠂆又雨田
𢴔	扌貝𠂆又

# 俞（刂・巛）
輸	車亼月刂
愈	亼月刂心
渝	氵亼月刂
逾	之亼月刂
瑜	王亼月刂
諭	言亼月刂
愉	心亼月刂
癒	疒亼月刂心
踰	足亼月刂
嵛	山亼月刂
窬	穴亼月刂
揄	扌亼月刂
覦	亼月刂見
褕	衤亼月刂
腧	月亼月刂
蝓	虫亼月刂
毹	亼月刂毛
鄃	亼月刂阝
隃	阝亼月刂
牏	片亼月刂
歈	亼月刂欠
蕍	艹氵亼月刂
睮	目亼月刂
羭	羊亼月刂
緰	糸亼月刂
崳	山亼月刂
媮	女亼月刂
瘉	疒亼月刂
鍮	金亼月刂
㺄	犭亼月刂
𤭷	瓦亼月刂
𬲇	亼月刂心几二
𪿐	矢車亼月刂
𫗄	几二亼月刂心
𬕷	⺮亼月刂心
𬲂	几二亼月刂
𫕲	雨之亼月刂
𣜴	木亼月刂心
𪱎	日生亼月刂
𬲠	食亼月刂心
𥣒	禾亼月刂心
𦾤	艹亼月刂心
𩙌	几二之亼月刂
𤀒	氵亼月刂心
匬	匚亼月刂
𪬪	个亼月刂心
𫗃	几二亼月刂心
𩙍	風亼月刂心
𨮋	金亼月刂心
𩙋	風之亼月刂
𬰅	雨亼月刂
𢷀	扌亼月刂心
𫖾	亼月刂几二

# 强・強
犟	弓口虫牛
鏹	金弓口虫
襁	衤弓口虫
糨	米弓口虫
蔃	艹弓口虫
漒	氵弓口虫
膙	月弓口虫
𫋙	虫弓厶虫
𪻈	犭弓厶虫

# 臣𠂉丶・臣𠂉一
藍	艹臣𠂉丶皿
監	臣𠂉丶皿
艦	舟臣𠂉丶皿
攬	扌臣𠂉丶四見
籃	⺮臣𠂉丶皿
濫	氵臣𠂉丶皿
鑑	金臣𠂉丶皿
覽	臣𠂉丶四見
纜	糸臣𠂉丶四見
檻	木臣𠂉丶皿
欖	木臣𠂉丶四見
鑒	臣𠂉丶四金
尷	尢臣𠂉丶皿
覧	臣𠂉丶見
襤	衤臣𠂉丶皿
爁	火臣𠂉丶皿
礛	石臣𠂉丶皿
轞	車臣𠂉丶皿
𡽾	山臣𠂉丶皿
𧕭	虫艹臣𠂉丶皿
㺝	犭臣𠂉丶皿
𤑸	火臣𠂉丶見
𪸄	氵臣𠂉丶皿亇
𥍖	目臣𠂉丶四見
𡅋	口木臣𠂉丶皿
𤓆	火艹臣𠂉丶皿
㜮	女臣𠂉丶皿
𫶻	巴臣𠂉丶皿
𥍍	目艹臣𠂉丶皿
𡔑	土臣𠂉丶四見
𩁱	隹木臣𠂉丶皿
𫬠	口臣𠂉丶見
𨇣	足臣𠂉丶見
𧖐	虫臣𠂉丶四見
𨰲	金臣𠂉丶四見
𤼓	疒艹臣𠂉丶皿
嚂	口臣𠂉丶皿
𱶭	禾艹臣𠂉丶皿
𣡓	木⺮臣𠂉丶皿
𥌈	目臣𠂉丶皿
囕	口臣𠂉丶四見
㩜	扌臣𠂉丶皿
𦡶	月臣𠂉丶皿
懢	忄臣𠂉丶皿
𠑈	亻氵臣𠂉丶皿
𥗽	石臣𠂉丶四見
𣠩	木艹臣𠂉丶皿
