的	白勹丶
懷	忄衣四水
池	氵也
凱	山一䒑几
鐘	金立田土
愁	禾火心
薩	艹阝丿生
揚	扌日勹彡
勇	又用力
財	貝寸丿
鍊	金木四
終	絲夂冫
質	斤斤貝
泥	氵尸匕
昏	氏日
遇	之日冂厶
喬	丿大冂口
欄	木門木日
鍋	金咼
巨	匚㇕
儀	亻羊手戈
磨	广木木石
呼	口丿丷寸
賭	貝者
液	氵亠夂丶
泉	白水
嫁	女宀豕
捲	扌半卩
豆	一口䒑
頓	七凵頁
旺	日王
攻	工攵
祥	示羊
委	禾女
佐	亻大工
臨	臣𠂉口口
隔	阝一丷丁
溝	氵甘冂土
碗	石宀夗
賠	貝立口
吻	口勹彡
健	亻廴尹二
速	之木口
失	牛人
雄	大厶隹
胸	月勹乂凵
暴	日廿八水
湊	氵春一大
陣	阝車
識	言立日戈
娃	女土土
唯	口隹
漏	氵尸雨
拔	扌犬丿
洛	氵夂口
探	扌冖八木
郎	丶艮阝
珠	王𠂉木
尿	尸水
透	之禾㇆丿
惠	車心
府	广亻寸
父	八乂
耳	耳
搜	扌臼丨又
希	乂大巾
患	口中心
尾	尸毛
播	扌釆田
岩	山石
逗	之一口䒑
賢	臣又貝
限	阝艮
帝	亠丷冖巾
昌	日日
模	木艹日大
嫌	女䒑刂八
陶	阝勹十凵
苗	艹田
羽	习习
哩	口田土
稿	禾亠冂口
棟	木木日
邦	丰阝
玲	王人之
驚	艹勹攵馬
坑	土亠几
備	亻廿丿用
袋	亻弋衣
妖	女丿大
錦	金白巾
琳	王木木
乙	乙
伴	亻半
尊	丷酉寸
霜	雨木目
沿	氵几口
伯	亻白
盜	氵欠皿
浩	氵牛口
剩	禾丬匕刂
域	土戈口一
祖	示且
肺	月亠巾
附	阝亻寸
制	牛巾刂
玄	亠幺
置	四十目乚
豪	亠口冖豕
恆	忄二夕
助	且力
幽	幺幺山
欣	斤欠
辣	辛木口
煤	火甘木
瓜	瓜
諸	言者
慧	丰丰彐心
墨	田土灬土
鮮	魚羊
鏡	金立日儿
蝦	虫㇕㇕又
犬	犬
鵬	月月鳥
誠	言戊㇆
賀	力口貝
險	阝人人人
飾	食𠂉巾
炎	火火
震	雨辰
鋒	金夂丰
遂	之丷豕
軒	車一十
控	扌穴工
覆	西行日夂
禁	木木示
盃	不皿
童	立田土
徵	行山王攵
杯	木不
晴	日丰月
魂	二厶鬼
益	䒑八皿
庭	广廴丿士
肝	月一十
濃	氵日刂辰
坊	土方
晨	日辰
紀	絲己
振	扌辰
割	宀丰口刂
敗	貝攵
消	氵小月
兆	儿氵
楓	木風
隆	阝夂一生
撤	扌亠月攵
粥	弓米弓
馨	士尸禾日
誤	言口乚一八
滑	氵骨
暖	日爪大又
己	己
止	止
柱	木丶王
塗	氵人禾土
妻	一尹女
盾	斤十目
奔	大十艹
潤	氵門王
政	一止攵
刺	木冂刂
冠	冖一兀寸
蓮	艹之車
獸	口口口犬
婚	女氏日
攝	扌耳耳耳
閣	門夂口
敬	艹勹口攵
潮	氵十十月
昂	日氏卩
飽	食勹己
邪	牙阝
促	亻足
葛	艹日人乚
串	口中
桑	又又又木
苑	艹夗
迎	之氏卩
弓	弓
碎	石亠人十
余	人禾
承	㇕水三
迪	之由
烏	烏
臣	臣
勤	廿口丰力
蒸	艹㇕一灬
凌	冫土八夂
辛	辛
旗	方𠂉其
妙	女小丿
始	女厶口
符	⺮亻寸
倫	亻人冂艹
亭	亠口冖丁
云	二厶
研	石一艹
俗	亻八人口
啓	户攵口
霧	雨又夂力
珍	王人彡
卓	卜日十
積	禾丰貝
捧	扌春工
鳴	口鳥
簡	⺮門日
罰	四言刂
晃	日小兀
斜	人禾冫十
預	又㇕丨頁
尤	尤
洲	氵⺍川
乎	丿丷寸
湘	氵木目
罷	四厶匕匕
軸	車由
翔	羊习习
異	田廿八
枝	木十又
逸	之𠂊儿丶
鴨	甲鳥
染	氵九木
餅	食䒑艹
粘	米卜口
藝	艹土二厶
鴻	氵工鳥
腎	臣又月
撲	扌业羊
晶	日日日
勾	勹厶
戒	戈艹
桂	木土土
朗	丶艮月
堵	土者
荷	艹亻丁口
畝	亠田𠂊丶
私	禾厶
擊	車凵殳手
貸	亻弋貝
傾	亻匕頁
鼓	士口十又
霞	雨㇕㇕又
皇	白王
企	人止
互	一彑
柏	木白
騰	月半馬
焦	隹灬
潔	氵丰刀絲
盟	日月皿
延	廴丿止
柔	又㇕亻木
資	冫欠貝
粒	米立
嶺	山人之頁
盆	八刀皿
檢	木人人人
護	言艹隹又
眉	尸目
傘	人人人十
碧	王白石
籍	⺮三廿日
勿	勹彡
汁	氵十
冊	冂艹
銘	金夕口
浴	氵八人口
翼	习习廿八
哲	扌斤口
菌	艹圍禾
敵	亠丷口攵
桶	木又用
抹	扌一木
判	半刂
寵	宀龍
紋	絲文
弟	丷弓亻
衰	衣日
叔	上小又
肩	户月
殿	尸廿八殳
番	釆田
旭	九日
訪	言方
勢	土八丸力
蒐	艹鬼
航	舟亠几
萊	艹木人人
旅	方𠂉氏
鷹	广亻隹鳥
赤	土川八
技	扌十又
韻	立日口貝
摘	扌亠十口
翠	习习人十
孝	者子
移	禾夕夕
搖	扌夕十凵
畢	甲艹二
予	又㇕丨
岳	丘山
融	一口丁虫
棋	木其
採	扌爪木
扶	扌夫
介	人川
渡	氵广廿又
芯	艹心
奪	大隹寸
采	爪木
乳	爪子乚
拳	半手
浜	氵丘八
錫	金日勹彡
淫	氵爪丿士
職	耳立日戈
宅	宀丿七
掌	小冖口手
培	土立口
莉	艹禾刂
損	扌口貝
握	扌尸至
謀	言甘木
廟	广十十月
孤	子瓜
壯	爿士
規	夫見
頗	皮頁
宣	宀二日
尖	小大
討	言寸
漸	氵車斤
耗	三小毛
息	自心
伍	亻工㇕
壽	士㇕口寸
逢	之夂丰
桃	木儿氵
壁	尸口辛土
漆	氵木人水
暫	車斤日
虹	虫工
丸	丸
券	半刀
縫	絲之夂丰
俱	亻且八
菊	艹勹米
奴	女又
岸	山厂一十
凝	冫匕㇕止
芝	艹之
脈	月斤氏
烈	一夕刂灬
貪	人丶㇕貝
婆	氵皮女
蝶	虫廿乚木
誇	言大一丂
枕	木冖儿
毀	臼土殳
避	之尸口辛
浮	氵爪子
枚	木攵
材	木寸丿
賞	小冖口貝
翁	八厶习习
幻	幺㇆
固	圍十口
耀	小兀习隹
槽	木艹日日
穴	穴
幅	巾一口田
審	宀釆田
斬	車斤
伸	亻申
悲	非心
萌	艹日月
斑	王文王
牽	亠幺冖牛
屈	尸凵山
怨	夗心
恐	工凡心
凍	冫木日
複	衤𠂉日夂
