# 丷・八
# 八・人
# 兑・兌
# 乚・乙
# 良・艮・皀
# 月・円
# 礻・示
# 𠂊・刀
# 丶・一
# 阝・卩

# 柬・東
韍	韋口㐄大乂丶
胈	月大乂丶
詙	言大乂丶
帗	巾大乂丶
蛂	虫大乂丶
鼥	臼巛大乂丶
瞂	斤十目大乂丶
翇	习习大乂丶
𧛌	亠𧘇寸丿大乂丶

# 鄉・郷
響	乡艮阝立日
曏	日乡艮阝
饗	乡艮阝食
薌	艹乡艮阝
膷	月乡艮阝
蠁	乡艮阝虫
鱜	魚乡艮阝
嚮	乡艮阝自口
