的	白勹丶
咋	口矢卜
且	且
林	木木
化	亻匕
班	王刂王
滴	氵亠丷冂十口
店	广卜口
安	宀女
坐	人人土
度	广廿又
俄	亻手戈
歌	丁口丁口欠
信	亻言
若	艹大口
原	厂白小
文	文
晚	日⺈口儿
量	日一甲二
村	木寸
式	弋工
空	穴工
山	山
毛	毛
重	千日二
主	丶王
另	口力
入	人
伐	亻戈
血	丿皿
爽	大乂乂乂乂
往	行丶王
片	片
狗	犭勹口
共	廿八
西	西
周	冂土口
超	走刀口
明	日月
均	土勹冫
期	其月
照	日刀口灬
切	七刀
留	氏丶刀田
特	牛土寸
神	礻申
教	者子攵
哥	丁口丁口
甘	甘
值	亻十且
么	丿厶
陪	阝立口
既	艮七儿
哭	口口大丶
力	力
建	廴彐二
洗	氵牛儿
懂	忄艹千日二
口	口
指	扌匕日
球	王寸氵丶
仍	亻㇆丿
活	氵舌
跌	足牛人
清	氵丰月
提	扌日一止
除	阝人禾
通	之又用
酒	氵酉
票	西示
六	亠八
病	疒
假	亻㇕卜㇕又
久	⺈丶
段	亻三殳
平	丁䒑
抓	扌爪
套	大長
急	⺈彐心
城	土戊㇆
任	亻丿士
草	艹日十
理	王甲二
令	人之
雨	雨
唱	口日日
左	大工
常	小冖口巾
色	⺈巴
菜	艹爪木
集	隹木
感	戊一口心
房	户方
混	氵日匕匕
敢	㇕耳攵
火	火
操	扌口口口木
南	十冂半
退	之艮
件	亻牛
破	石皮
德	行十四一心
雪	雨彐
局	尸㇆口
整	木口攵一止
傻	亻鬼乂八夂
克	十口儿
喊	口戊一口
跳	足氵儿
沈	氵冖儿
反	斤又
篇	⺮户冂艹
待	行土寸
砸	石匚巾
深	氵冖八木
根	木艮
求	寸氵丶
投	扌殳
款	士示欠
知	矢口
八	八
配	酉己
器	口口大丶口口
何	亻丁口
率	亠幺氵十
鬼	鬼
修	亻丨夂彡
面	石因卜丨
北	丬匕
木	木
份	亻八刀
情	忄丰月
肉	冂人人
需	雨而
七	七
流	氵亠厶川
招	扌刀口
痛	疒又用
列	一夕刂
石	石
香	禾日
封	土土寸
眼	目艮
易	日勹彡
冷	冫人之
借	亻廿日
派	氵斤氏
付	亻寸
十	十
油	氵由
胡	十口月
排	扌非
停	亻亠口冖丁
合	人一口
身	身
章	立日十
科	禾冫十
星	日生
牌	片鬼十
翻	釆田习习
帖	巾卜口
商	亠丷冂八口
物	牛勹彡
泡	氵勹巳
玉	王丶
追	之丿㠯
背	丬匕月
解	⺈用刀牛
室	宀至
底	广氏丶
代	亻弋
朱	牛小
亦	亠川八
乾	十日十矢乙
工	工
咱	口自
刀	刀
波	氵皮
推	扌隹
落	艹氵夂口
春	春
笨	⺮木一
九	九
江	氵工
短	矢一口䒑
含	人丶㇕口
千	千
炒	火小丿
藉	艹三小廿日
丫	丷丨
徐	行人禾
秒	禾小丿
青	丰月
耍	而女
夜	亠亻夂丶
吹	口欠
板	木斤又
土	土
姐	女且
直	十且
公	八厶
苦	艹十口
秀	禾㇆丿
博	十甫寸
皮	皮
朝	十日十月
君	尹口
利	禾刂
素	丰絲
立	立
存	大丨子
吾	一韋口
民	巳七
命	人一口冂
忘	亡心
茶	艹人木
冰	冫水
供	亻廿八
案	宀女木
田	田
初	衤刀
品	口口口
抽	扌由
造	之牛口
抱	扌勹巳
野	甲二又㇕丨
胖	月半
故	十口攵
服	月冂又
百	一白
兵	丘八
英	艹冂大
般	舟殳
演	氵宀一由八
嘴	口止匕⺈用
填	土十且八
果	日木
保	亻口木
唐	广彐口
夏	一自夂
莫	艹日大
硬	石一日乂
寒	宀甘八冫
挖	扌穴乙
凡	凡
言	言
防	阝方
街	行土土
距	足匚㇕
挑	扌氵儿
欲	八人口欠
竟	立日儿
源	氵厂白小
官	宀㠯
寄	宀大丁口
古	十口
首	䒑自
思	田心
郭	亠口子阝
亮	亠口冖几
干	一十
粉	米八刀
爆	火日廿八水
戴	土田廿八戈
然	夕大丶灬
疼	疒夂冫
雷	雨田
港	氵廿八巳
租	禾且
狼	犭丶艮
狂	犭王
布	大巾
引	弓丨
捏	扌日土
佛	亻弓川
食	食
船	舟几口
今	人丶㇕
恨	忄艮
宋	宀木
猛	犭子皿
客	宀夂口
友	大又
句	勹口
斯	其斤
沙	氵小丿
哼	口亠口了
望	亡月王
腿	月之艮
丁	丁
祝	礻口儿
界	田八川
抗	扌亠几
步	止小
河	氵丁口
缺	牛山㇕大
尚	小冂口
似	亻厶人
羊	羊
福	礻一口田
必	心丿
遭	之艹日日
否	不口
端	立山而
猜	犭丰月
伊	亻尹
秦	春禾
秋	禾火
毒	丰母
架	力口木
熊	厶月匕匕灬
持	扌土寸
插	扌千臼
折	扌斤
意	立日心
呆	口木
基	其土
困	因木
圈	因半巳
迷	之米
踢	足日勹彡
史	口乂
甲	甲
呵	口丁口
搬	扌舟殳
乃	㇆丿
右	大口
塔	土艹人一口
拖	扌矢也
摸	扌艹日大
院	阝宀二儿
散	廿月攵
松	木人厶
爸	八乂巴
喜	士口䒑口
洋	氵羊
呈	口王
治	氵厶口
降	阝夂㐄
富	宀一口田
姓	女生
料	米冫十
咬	口亠八乂
梅	木矢母
批	扌匕匕
足	足
爬	爪巴
醒	酉日生
狠	犭艮
逛	之犭王
精	米丰月
瘦	疒臼丨又
踩	足釆
偷	亻人一月刂
支	十又
杜	木土
鞋	革土土
展	尸艹展
咧	口一夕刂
依	亻亠𧘇
倍	亻立口
康	广彐氵
堂	小冖口土
救	寸氵丶攵
音	立日
世	廿乚
著	艹者
仲	亻中
舞	矢廿夕㐄
守	宀寸
露	雨足夂口
冒	日目
弱	弓冫弓冫
影	日亠口小彡
州	⺍川
替	夫夫日
逼	之一口田
曲	日刂
牙	牙
箱	⺮木目
遍	之户冂艹
巴	巴
武	一弋止
湖	氵十口月
程	禾口王
柳	木氏丿冂
偏	亻户冂艹
印	氏一冂
味	口二小
零	雨人之
角	⺈用
紫	止匕絲
勒	革力
熟	亠口子丸灬
孔	子乚
寸	寸
厚	厂日子
答	⺮人一口
社	礻土
兼	䒑彐刂八
娘	女丶艮
登	癶一口䒑
微	行山一几攵
佳	亻土土
瞭	目人丷日小
雅	牙隹
魔	广木木鬼
司	㇆一口
志	士心
奇	大丁口
瓦	一乚㇆丶
居	尸十口
盛	戊㇆皿
奶	女㇆丿
虎	虎
后	斤一口
洞	氵冂一口
台	厶口
形	一艹彡
川	川
充	亠厶儿
害	宀丰口
喂	口田展
免	⺈口儿
景	日亠口小
曹	艹日日
煮	者灬
良	丶艮
蛋	㇕止虫
吐	口土
肥	月巴
仙	亻山
碰	石䒑业
酸	酉厶八夂
侯	亻㇕矢
塞	宀甘八土
欠	欠
擦	扌宀夗示
藏	艹戈爿臣
皆	匕匕白
屁	尸匕匕
永	丶水
夫	夫
琴	王王人丶㇕
宏	宀大厶
例	亻一夕刂
砍	石欠
兄	口儿
善	羊䒑口
增	土丷四日
施	方矢也
暗	日立日
忍	刀丶心
肯	止月
母	母
艾	艹乂
致	至攵
宗	宀示
麻	广木木
怒	女又心
扔	扌㇆丿
游	氵方矢子
腰	月西女
嫩	女木口攵
肖	小月
罪	四非
仔	亻子
丑	㇕十
敏	矢母攵
棒	木春工
臭	自大丶
拆	扌斤丶
蔡	艹夗示
校	木亠八乂
氏	氏
糖	米广彐口
吉	士口
押	扌甲
吵	口小丿
谷	八人口
衣	亠𧘇
宇	宀一寸
末	一木
潘	氵釆田
告	牛口
旁	亠丷冖方
耐	而寸
董	艹千日二
榜	木亠丷冖方
醉	酉亠人人十
妹	女二小
宜	宀且
尼	尸匕
灰	大火
屋	尸至
楚	木木㇕止
丹	冂亠
乘	丿木丬匕
刻	亠乡人刂
俊	亻厶八夂
芳	艹方
抄	扌小丿
酷	酉牛口
京	亠口小
返	之斤又
瑞	王山而
仁	亻二
添	氵一大忄
催	亻山隹
具	且八
威	戊一女
核	木亠乡人
瓶	䒑艹一乚㇆丶
犯	犭巳
族	方矢矢
季	禾子
骨	骨
嘿	口四二灬
黎	禾勹丿人水
密	宀心丿山
士	士
炸	火矢卜
洪	氵廿八
容	穴人口
射	身寸
智	矢口日
索	十冖絲
聚	耳又豕
拼	扌䒑艹
燕	廿口丬匕灬
撞	扌立甲二
膜	月艹日大
普	䒑业日
竹	⺮
魏	禾女鬼
范	艹氵巳
搭	扌艹人一口
袁	土口𧘇
扯	扌止
彭	士口䒑彡
薄	艹氵甫寸
曰	因一
胃	田月
堆	土隹
赴	走卜
躲	身几木
孟	子皿
抵	扌氏丶
甜	舌甘
彩	爪木彡
甚	其乚
粗	米且
申	申
念	人丶㇕心
惹	艹大口心
盒	人一口皿
逃	之氵儿
嘉	士口䒑力口
升	丿艹
姚	女氵儿
休	亻木
症	疒一止
斤	斤
功	工力
喇	口木口刂
浪	氵丶艮
扣	扌口
泰	春水
忠	中心
梁	氵刀八木
吸	口㇆人
跨	足大一了
森	木木木
瞎	目宀丰口
卷	半巳
于	一寸
井	二川
蛇	虫宀匕
寺	土寸
屏	尸䒑艹
灌	氵艹口口隹
埋	土甲二
略	田夂口
目	目
蒙	艹冖一豕
托	扌丿七
巧	工了
淡	氵火火
拜	手一丰
冬	夂冫
娜	女刀二阝
池	氵也
敲	亠口冂口卜又
愁	禾火心
勇	又用力
泥	氵尸匕
昏	氏日
遇	之日冂厶
巨	匚㇕
怎	矢卜心
磨	广木木石
呼	口丿丷寸
液	氵亠亻夂
泉	白水
嫁	女宀豕
汪	氵王
稍	禾小月
薛	艹丿㠯辛
豆	一口䒑
旺	日王
攻	工攵
祥	礻羊
委	禾女
佐	亻大工
隔	阝一口冂丷丁
崔	山隹
碗	石宀夗
吻	口勹彡
健	亻廴彐二
速	之木口
失	牛人
雄	大厶隹
胸	月勹乂凵
框	木匚王
暴	日廿八水
娃	女土土
唯	口隹
漏	氵尸雨
拔	扌大又丶
洛	氵夂口
探	扌冖八木
碟	石廿乚木
郎	丶艮阝
珠	王牛小
尿	尸水
透	之禾㇆丿
惠	車心
府	广亻寸
菲	艹非
叼	口㇆一
父	八乂
耳	耳
窗	穴鬼夂
搜	扌臼丨又
希	乂大巾
患	口中心
尾	尸毛
播	扌釆田
岩	山石
逗	之一口䒑
限	阝艮
帝	亠丷冖巾
昌	日日
模	木艹日大
扁	户冂艹
舒	人舌又㇕丨
嫌	女䒑彐刂八
陶	阝勹牛山
苗	艹田
剪	䒑月刂刀
羽	习习
哩	口甲二
稿	禾亠口冂口
邦	丰阝
玲	王人之
坑	土亠几
袋	亻弋亠𧘇
趁	走人彡
妖	女丿大
甩	月乚
琳	王木木
乙	乙
伴	亻半
尊	丷酉寸
熬	丰力攵灬
吊	口巾
霜	雨木目
沿	氵几口
伯	亻白
浩	氵牛口
剩	禾丬匕刂
域	土戈口一
祖	礻且
肺	月一巾
附	阝亻寸
制	牛巾刂
玄	亠幺
置	四十且
豪	亠口冖豕
助	且力
幽	幺幺山
欣	斤欠
辣	辛木口
煤	火甘木
瓜	瓜
慧	丰丰彐心
墨	四二灬土
娶	耳又女
犬	大丶
炎	火火
震	雨辰
遂	之丷豕
斌	文一弋止
控	扌穴工
覆	西行矢日夂
趟	走小冂口
禁	木木示
烤	火者了
童	立甲二
杯	木不
晴	日丰月
魂	二厶鬼
益	䒑八皿
庭	广廴丿士
肝	月一十
坊	土方
晨	日辰
振	扌辰
割	宀丰口刂
消	氵小月
兆	氵儿
隆	阝夂一生
撤	扌亠厶月攵
粥	弓米弓
馨	士尸殳禾日
滑	氵骨
曼	日四又
暖	日爪一大又
己	己
止	止
柱	木丶王
妻	一彐女
盾	斤十目
奔	大十艹
政	一止攵
爹	八乂夕夕
刺	木冂刂
冠	冖二儿寸
躺	身小冂口
舍	人舌
售	隹口
婚	女氏日
兔	⺈口儿丶
敬	艹勹口攵
潮	氵十日十月
昂	日氏冂
咳	口亠乡人
邪	牙阝
促	亻足
鼠	臼巛
葛	艹日勹人乚
串	口中
桑	又又又木
苑	艹夗
迎	之氏冂
弓	弓
碎	石亠人人十
余	人禾
承	㇕水三
迪	之由
臣	臣
勤	廿口丰力
摔	扌亠幺氵十
蒸	艹㇕水一灬
凌	冫土八夂
辛	辛
旗	方矢其
妙	女小丿
始	女厶口
符	⺮亻寸
亭	亠口冖丁
吼	口子乚
云	二厶
研	石一艹
咪	口米
俗	亻八人口
珍	王人彡
卓	卜日十
捧	扌春工
舔	舌一大忄
愈	人一月刂心
溪	氵爪幺大
歪	不一止
晃	日小尤
斜	人禾冫十
尤	尤
洲	氵⺍川
乎	丿丷寸
湘	氵木目
翔	羊习习
枝	木十又
逸	之⺈口儿丶
哄	口廿八
餐	卜夕又食
染	氵九木
粘	米卜口
炮	火勹巳
桌	卜日木
芬	艹八刀
萍	艹氵一䒑
晶	日日日
勾	勹厶
戒	戈艹
桂	木土土
朗	丶艮月
堵	土者
矣	厶矢
捐	扌口月
荷	艹亻丁口
棉	木白巾
私	禾厶
姜	羊女
鼓	士口䒑十又
霞	雨㇕卜㇕又
瞧	目隹灬
皇	白王
企	人止
互	一彑
沉	氵冖几
箭	⺮䒑月刂
柏	木白
焦	隹灬
憋	水冂攵心
盟	日月皿
延	廴丿止
柔	又㇕亻木
粒	米立
盆	八刀皿
眉	尸目
碧	王白石
籍	⺮三小廿日
刮	舌刂
勿	勹彡
坤	土申
汁	氵十
浴	氵八人口
翼	习习田廿八
哲	扌斤口
涵	氵㇕水凵
菌	艹因禾
桶	木又用
抹	扌一木
判	半刂
弟	丷弓亻
傅	亻甫寸
衰	亠日𧘇
叔	上小又
肩	户月
殿	尸廿八殳
番	釆田
怡	忄厶口
旭	九日
航	舟亠几
妮	女尸匕
坡	土皮
旅	方矢氏
赤	土川八
技	扌十又
摘	扌亠丷冂十口
翠	习习亠人人十
孝	者子
移	禾夕夕
予	又㇕丨
岳	丘山
屎	尸米
融	一口冂丷丁虫
棋	木其
扶	扌夫
介	人川
渡	氵广廿又
芯	艹心
采	爪木
乳	爪子乚
拳	半手
薇	艹行山一几攵
淫	氵爪丿士
拽	扌日乚丿
宅	宀丿七
掌	小冖口手
培	土立口
莉	艹禾刂
盼	目八刀
握	扌尸至
截	土隹戈
孤	子瓜
什	亻十
宣	宀二日
尖	小大
醋	酉廿日
朵	几木
穆	禾白小彡
啃	口止月
耗	三小毛
息	自心
伍	亻工㇕
塘	土广彐口
逢	之夂丰
桃	木氵儿
壁	尸口辛土
霍	雨隹
漆	氵木人水
虹	虫工
丸	丸
券	半刀
俱	亻且八
菊	艹勹米
奴	女又
岸	山厂一十
凝	冫匕矢又㇕止
芝	艹之
烈	一夕刂灬
矮	矢禾女
婆	氵皮女
蝶	虫廿乚木
枕	木冖儿
避	之尸口辛
帕	巾白
浮	氵爪子
盈	㇆丿又皿
枚	木攵
材	木寸丿
扎	扌乚
翁	八厶习习
幻	幺㇆
衫	衤彡
杆	木一十
固	因十口
耀	小尤习习隹
槽	木艹日日
穴	穴
幅	巾一口田
伸	亻申
悲	非心
殷	斤彐㇆殳
萌	艹日月
斑	王文王
澡	氵口口口木
屈	尸凵山
娟	女口月
怨	夗心
恐	工凡心
柴	止匕木
逆	之䒑凵
渣	氵木日一
熙	臣巳灬
抖	扌冫十
忽	勹彡心
津	氵彐二
胎	月厶口
准	冫隹
摩	广木木手
漫	氵日四又
溜	氵氏刀田
扇	户习习
堡	亻口木土
淘	氵勹牛山
墓	艹日大土
鹿	鹿
彬	木木彡
蹭	足丷四日
卿	氏丿艮冂
函	㇕水凵
奈	大示
茂	艹戊
肌	月几
映	日冂大
鼻	自田一川
泵	石水
育	亠厶月
澳	氵自米大
候	亻丨㇕矢
种	禾中
邀	之白方攵
佩	亻几一巾
策	⺮木冂
藤	艹月半水
仿	亻方
磊	石石石
雁	厂亻隹
窄	穴矢卜
昨	日矢卜
戈	戈
爪	爪
癌	疒口口口山
效	亠八乂攵
拷	扌者了
猴	犭亻㇕矢
掏	扌勹牛山
汝	氵女
撮	扌日耳又
幸	土半
揉	扌又㇕亻木
舟	舟
盯	目丁
蜜	宀心丿虫
漂	氵西示
序	广又㇕丨
巷	廿八巳
梨	禾刂木
舌	舌
蒂	艹亠丷冖巾
腹	月矢日夂
蟹	⺈用刀牛虫
陷	阝⺈臼
捉	扌足
疑	匕矢又㇕止
鼎	目爿片
慌	忄艹亡川
瘤	疒氏刀田
彼	行皮
辰	辰
忌	己心
踏	足水日
捷	扌一彐止
罐	牛山艹口口隹
伏	亻大丶
默	四二灬大丶
赫	土川八土川八
杰	木灬
孩	子亠乡人
咖	口力口
悟	忄工㇕口
帽	巾日目
幼	幺力
旋	方矢㇕止
壹	士冖一口䒑
霸	雨革月
席	广廿巾
叉	又丶
妃	女己
典	冂廿八
儒	亻雨而
裸	衤日木
奉	春工
御	行牛止冂
腔	月穴工
突	穴大丶
刑	一艹刂
痕	疒艮
午	矢十
蕾	艹雨田
宰	宀辛
囊	一中冖口口甘𧘇
弘	弓厶
境	土立日儿
拒	扌匚㇕
毅	立豕殳
煎	䒑月刂灬
弦	弓亠幺
渝	氵人一月刂
罩	四卜日十
蓉	艹穴人口
卵	氏丿丶冂丶
尺	尸丶
逾	之人一月刂
垂	千艹二
惜	忄廿日
浦	氵甫
警	艹勹口攵言
扛	扌工
氧	气羊
揭	扌日勹人乚
逐	之豕
昭	日刀口
宿	宀亻一白
裂	一夕刂亠𧘇
僧	亻丷四日
裙	衤尹口
彪	虎彡
淋	氵木木
束	木口
牢	宀牛
揍	扌春一大
劫	土厶力
拓	扌石
扮	扌八刀
喻	口人一月刂
律	行彐二
株	木牛小
砂	石小丿
埃	土厶矢
斗	冫十
坪	土一䒑
仇	亻九
吞	一大口
亡	亡
沾	氵卜口
牧	牛攵
兜	白氏㇕儿
寨	宀甘八木
掐	扌⺈臼
稀	禾乂大巾
恰	忄人一口
棍	木日匕匕
淑	氵上小又
慕	艹日大忄
歇	日勹人乚欠
疏	㇕止亠厶川
膏	亠口冖口月
陵	阝土八夂
姆	女母
碳	石山大火
廷	廴丿士
糊	米十口月
蚊	虫文
祭	夗示
拾	扌人一口
朋	月月
媚	女尸目
吟	口人丶㇕
筒	⺮冂一口
丘	丘
趴	足八
繁	矢母攵絲
坦	土日一
穗	禾車心
屯	七凵
虐	虎匚
蹲	足丷酉寸
惟	忄隹
幕	艹日大巾
扒	扌八
搓	扌羊工
遮	之广廿灬
庚	广彐人
哉	土口戈
涉	氵止小
臂	尸口辛月
敷	甫方攵
丙	一冂人
署	四者
示	示
夕	夕
趣	走耳又
渠	氵匚㇕木
杭	木亠几
疾	疒矢
崇	山宀示
裕	衤八人口
挪	扌刀二阝
荒	艹亡川
筋	⺮月力
孕	㇆丿子
撕	扌其斤
戳	习习隹戈
帆	巾凡
阻	阝且
享	亠口子
棚	木月月
傲	亻丰力攵
蹦	足山月月
焊	火日一十
召	刀口
徒	行走
脂	月匕日
几	几
艘	舟臼丨又
靖	立丰月
奏	春一大
咒	口口几
盲	亡目
姿	冫欠女
炫	火亠幺
坎	土欠
拌	扌半
缸	牛山工
弗	弓川
狐	犭瓜
栽	土木戈
硅	石土土
述	之木丶
泛	氵丿之
甫	甫
佑	亻大口
卦	土土卜
耿	耳火
咽	口因大
袖	衤由
糟	米艹日日
激	氵白方攵
珊	王冂冂一
潭	氵西日十
蠢	春虫虫
植	木十且
占	卜口
倚	亻大丁口
姨	女大弓
幢	巾立甲二
焉	一止一乚灬
桐	木冂一口
痰	疒火火
捂	扌工㇕口
万	一力
蒲	艹氵甫
芽	艹牙
碑	石鬼十
嚼	口爪四艮寸
燃	火夕大丶灬
朴	木卜
杖	木一乂
磷	石米夕㐄
脆	月⺈厂巳
刃	刀丶
姑	女十口
衡	行⺈田大
措	扌廿日
眠	目巳七
途	之人禾
鄂	口口一了阝
捅	扌又用
禾	禾
磁	石䒑幺幺
沃	氵丿大
肚	月土
哀	亠口𧘇
浸	氵彐冖又
柄	木一冂人
跪	足⺈厂巳
瓷	冫欠一乚㇆丶
凸	丨一丨㇆一
磅	石亠丷冖方
宴	宀日女
堪	土其乚
仗	亻一乂
崩	山月月
革	革
聘	耳由了
刊	一十刂
裁	土亠𧘇戈
郁	大月阝
逝	之扌斤
塌	土日习习
崖	山厂土土
廉	广䒑彐刂八
婉	女宀夗
攀	木乂乂木大手
喘	口山而
氮	气火火
鞍	革宀女
巫	工人人
沁	氵心
瑟	王王心丿
揪	扌禾火
棵	木日木
拐	扌口力
披	扌皮
削	小月刂
悠	亻丨攵心
凹	冂一冂一
葬	艹一夕匕艹
瞪	目癶一口䒑
授	扌爪冖又
卸	牛止冂
慈	䒑幺幺心
瞄	目艹田
鞭	革亻一日乂
危	⺈厂巳
泊	氵白
喉	口亻㇕矢
溶	氵穴人口
拎	扌人之
察	宀夗示
昆	日匕匕
禹	丿口冂厶
娥	女手戈
醇	酉亠口子
橙	木癶一口䒑
辨	辛刂辛
暮	艹日大日
薪	艹立木斤
巢	巛日木
脾	月鬼十
愚	日冂厶心
蜀	四勹虫
裹	亠日木𧘇
藕	艹三小日冂厶
劈	尸口辛刀
堤	土日一止
拱	扌廿八
夸	大一了
傍	亻亠丷冖方
燥	火口口口木
允	厶儿
杏	木口
芒	艹亡
畔	田半
豹	豸勹丶
澄	氵癶一口䒑
冥	冖日亠八
媒	女甘木
酥	酉禾
垮	土大一了
枯	木十口
塑	䒑凵月土
卜	卜
茅	艹又㇕亻
搏	扌甫寸
沐	氵木
豫	又㇕丨⺈口豕
蒜	艹示示
雀	小丿隹
腐	广亻寸冂人人
皓	白牛口
央	冂大
冤	冖⺈口儿丶
据	扌尸十口
浙	氵扌斤
栓	木人王
梳	木亠厶川
冀	丬匕田廿八
冉	冂土
彤	冂亠彡
卑	鬼十
誓	扌斤言
蜂	虫夂丰
勺	勹丶
迅	之乙十
虫	虫
匹	匚儿
仰	亻氏冂
煞	⺈彐攵灬
羞	羊㇕十
注	氵丶王
嫂	女臼丨又
瞳	目立甲二
拂	扌弓川
挨	扌厶矢
泄	氵廿乚
夷	大弓
慎	忄十且八
汽	氵气
恭	廿八忄
弊	水冂攵艹
旦	日一
涂	氵人禾
氯	气彐水
乍	矢卜
耕	三小二川
稻	禾爪臼
屠	尸者
笛	⺮由
捕	扌甫
蕊	艹心心心
氨	气宀女
愣	忄四方
悔	忄矢母
敦	亠口子攵
葵	艹癶一大
磕	石土厶皿
渴	氵日勹人乚
曝	日日廿八水
撇	扌用水冂攵
梗	木一日乂
蔚	艹尸示寸
翅	十又习习
估	亻十口
瓣	辛瓜辛
淮	氵隹
惑	戈口一心
巡	之巛
墩	土亠口子攵
徽	行山一絲攵
蓄	艹亠幺田
匪	匚非
溢	氵䒑八皿
寇	宀二儿卜又
蓬	艹之夂丰
硫	石亠厶川
俏	亻小月
迫	之白
貌	豸白儿
茄	艹力口
炭	山大火
挂	扌土土
掀	扌斤欠
翰	十日十人习习
掩	扌大日乚
蹬	足癶一口䒑
泳	氵丶水
玫	王攵
椅	木大丁口
侍	亻土寸
抑	扌氏冂
毫	亠口冖毛
侵	亻彐冖又
妥	爪女
概	木艮七儿
援	扌爪一大又
昔	廿日
晾	日亠口小
逮	之彐氵
卒	亠人人十
捆	扌因木
菱	艹土八夂
梯	木丷弓亻
籽	米子
腕	月宀夗
挫	扌人人土
膝	月木人水
嗦	口十冖絲
眨	目丿之
循	行斤十目
臀	尸廿八殳月
矛	又㇕亻
努	女又力
黔	四二灬人丶㇕
乏	丿之
魅	鬼二小
凶	乂凵
掘	扌尸凵山
雌	止匕隹
旱	日一十
掰	手八刀手
蛙	虫土土
雕	冂土口隹
隋	阝大工月
芙	艹夫
刁	㇆一
禽	人亠乂凵冂厶
腺	月白水
欺	其欠
杉	木彡
党	小冖口儿
玖	王⺈丶
肆	長彐二
悉	釆心
掂	扌广卜口
冶	冫厶口
遣	之中一㠯
皖	白宀二儿
糕	米羊灬
址	土止
茵	艹因大
簿	⺮氵甫寸
旬	勹日
丈	一乂
咸	戊一口
碘	石冂廿八
瞅	目禾火
廊	广丶艮阝
焰	火⺈臼
淳	氵亠口子
畏	田展
屑	尸小月
嵌	山甘欠
泣	氵立
袍	衤勹巳
僵	亻三田田
沫	氵一木
寂	宀上小又
秤	禾丁䒑
藻	艹氵口口口木
螺	虫田絲
恤	忄丿皿
污	氵一了
涯	氵厂土土
滋	氵䒑幺幺
嗜	口者匕日
陡	阝走
栗	西木
捻	扌人丶㇕心
勃	十冖子力
矩	矢匚㇕
沽	氵十口
淤	氵方人冫
描	扌艹田
契	丰刀大
祠	礻㇆一口
峻	山厶八夂
稠	禾冂土口
爵	爪四艮寸
秉	禾彐
刨	勹巳刂
群	尹口羊
役	行殳
烙	火夂口
灾	宀火
强	弓口虫
痘	疒一口䒑
髓	骨之大工月
募	艹日大力
苟	艹勹口
