溜	氵田
旁	亠方
董	艹二
榜	木方
醉	酉十
妹	女小
鋼	金山
薄	艹寸
絕	絲巴
屆	尸凵
乘	丿匕
認	言心
刻	亠刂
夾	大人
酷	酉口
京	亠小
嚴	口攵
返	之又
礦	石八
瑞	王而
註	言王
添	氵忄
催	亻隹
劇	虎刂
農	日辰
瓶	䒑瓦
銅	金口
尋	彐寸
嚥	口灬
鏈	金車
擠	扌川
黎	禾水
驅	馬口
密	宀山
術	行丶
炸	火卜
輝	小車
索	十絲
聚	耳乑
摸	扌艹
燕	廿灬
撞	扌二
膜	月大
普	䒑日
魏	禾鬼
澤	氵半
范	艹巳
彭	士彡
陰	阝厶
監	臣皿
賴	木貝
舉	臼工
彩	爪彡
顎	口頁
緣	絲豕
駐	馬王
衛	行㐄
念	人心
蔣	艹爿
蕙	艹心
勸	艹力
盒	人皿
逃	之儿
姚	女儿
症	疒止
喻	口刂
浪	氵艮
吸	口人
跨	足了
盧	虎皿
禁	木木
瞎	目口
蛇	虫匕
導	之寸
噴	口貝
屏	尸艹
灌	氵隹
埋	土二
略	田口
掃	扌巾
蒙	艹豕
託	言七
托	扌七
賤	貝戈
娜	女阝
懷	忄𧘇
敲	亠又
凱	山几
薩	艹生
揚	扌彡
勇	又力
鍊	金四
終	絲冫
遇	之厶
喬	丿口
欄	木四
遲	之牛
磨	广石
呼	口寸
液	氵夂
嫁	女豕
稍	禾月
薛	艹辛
豆	一䒑
儂	亻辰
佐	亻工
隔	阝丁
繞	絲尤
輛	車人
溝	氵土
碗	石夗
吻	口彡
健	亻二
雄	大隹
胸	月凵
柱	木王
暴	日水
決	氵大
識	言戈
娃	女土
漏	氵雨
礎	石木
珠	王小
透	之丿
府	广寸
喳	口一
殘	一戈
技	扌又
播	扌田
逗	之䒑
廢	广殳
賢	臣貝
帝	亠巾
模	木大
磚	石寸
扁	户艹
舒	人丨
嫌	女八
陶	阝山
剪	䒑刀
哩	口二
稿	禾口
查	木日
搶	扌人
玲	王之
驚	艹馬
坑	土几
備	亻用
趁	走彡
姻	女大
錦	金巾
琳	王木
淺	氵戈
尊	丷寸
匯	匚隹
熬	丰灬
霜	雨目
剩	禾刂
域	土一
肺	月巾
附	阝寸
制	牛刂
置	四且
豪	亠豕
恆	忄夕
汙	氵寸
幽	幺山
辣	辛口
圍	圍㐄
估	亻十
慧	丰心
墨	四土
鏡	金儿
娶	耳女
蝦	虫又
鵬	月鳥
詞	言㇆
賀	力貝
險	阝人
飾	食巾
撐	扌牙
鋒	金丰
遽	之豕
軒	車十
控	扌工
殼	士殳
烤	火了
童	立二
晴	日月
庭	广士
肝	月十
濃	氵辰
割	宀刂
隆	阝生
粥	弓弓
馨	士日
誤	言大
滬	氵巴
妻	一女
灣	氵弓
盾	斤目
莫	大艹
注	氵王
爹	八夕
廖	广彡
刺	木刂
蓮	艹車
婚	女日
攝	扌耳
闆	門口
妞	女十
兔	𠂊丶
敬	艹攵
昂	日卩
飽	食巳
葛	艹乚
柔	又木
續	絲貝
迎	之卩
碎	石十
膠	月彡
勤	廿力
蒸	艹灬
凌	冫夂
旗	方其
鋁	金鬼
亭	亠丁
爺	八阝
霧	雨力
珍	王彡
卓	卜十
歡	艹欠
嗨	口母
積	禾貝
贊	牛貝
喃	口半
簡	⺮日
豔	丰皿
罰	四刂
斜	人十
鄒	勹阝
渺	氵目
